event_story,answer,Event,Context,event1,event2,Relation,GPT3_TE,GPT4_TE,GPT3_5_QA,GPT4_QA
"event: I did not speak to Tommy again starts after He take several minutes to write everything out story: Tommy promised me that he was going to draw a good sketch of me. He took several minutes to write everything out. ""When he was done with the outline, he showed it to me."" It ended up being my face on top of a banana. I ripped the page and threw it away.", positive, i did not speak to tommy again starts after he take several minutes to write everything out ," Tommy promised me that he was going to draw a good sketch of me. He took several minutes to write everything out. ""When he was done with the outline, he showed it to me."" It ended up being my face on top of a banana. I ripped the page and threw it away.", i did not speak to tommy again , he take several minutes to write everything out ,after, True,TRUE, after, after
"event: Sara's friend is alive. starts before Her friend 's parents be so mad story: Sara was at her friend's house. They were jumping around and playing make believe. ""Suddenly, she fell on to the table."" The leg snapped and the whole thing broke. Her friend's parents were so mad and sent her home.", positive, sara's friend is alive. starts before her friend 's parents be so mad ," Sara was at her friend's house. They were jumping around and playing make believe. ""Suddenly, she fell on to the table."" The leg snapped and the whole thing broke. Her friend's parents were so mad and sent her home.", sara's friend is alive. , her friend 's parents be so mad ,before, True,TRUE, after, before
"event: The guy who saved my car is alive starts before We decide to fish together and pool our knowledge story: The guy who saved my car had acted quickly. We decided to fish together and pool our knowledge. The fish like to hang out in a weedy area of the lake. He used one side and I got the other. ""Between use, we caught 40 bluegill.""", positive, the guy who saved my car is alive starts before we decide to fish together and pool our knowledge ," The guy who saved my car had acted quickly. We decided to fish together and pool our knowledge. The fish like to hang out in a weedy area of the lake. He used one side and I got the other. ""Between use, we caught 40 bluegill.""", the guy who saved my car is alive , we decide to fish together and pool our knowledge ,before, True,TRUE, after, before
event: Trisha got a job at a diner starts before Trisha close the diner story: Trisha was a manager of local diner. It was a slow night. The diner hadn't been making any money. Trisha didn't want the diner to lose any more money. Trisha closed the diner an hour early., positive, trisha got a job at a diner starts before trisha close the diner , Trisha was a manager of local diner. It was a slow night. The diner hadn't been making any money. Trisha didn't want the diner to lose any more money. Trisha closed the diner an hour early., trisha got a job at a diner , trisha close the diner ,before, False,TRUE, after, before
"event: John likes candy.  starts before John go inside the shop to purchase some candy story: John was walking home from school. ""Suddenly, John noticed the display window for the local candy shop."" John went inside the shop to purchase some candy. John purchased the candy and continued home. ""On his way home, John ate every piece of his candy.""", positive, john likes candy.  starts before john go inside the shop to purchase some candy ," John was walking home from school. ""Suddenly, John noticed the display window for the local candy shop."" John went inside the shop to purchase some candy. John purchased the candy and continued home. ""On his way home, John ate every piece of his candy.""", john likes candy.  , john go inside the shop to purchase some candy ,before, True,TRUE, before, before
event: Someone submitted an ad for the leather computer chair on Craigslist starts before he was able to buy the chair story: Jake had just moved into his college dorm. He wanted to make his study area as comfortable as possible. The chair that was in his room was old and stiff. Jake found a really nice leather computer chair on craigslist. Jake was able to buy the chair for $50 used., positive, someone submitted an ad for the leather computer chair on craigslist starts before he was able to buy the chair , Jake had just moved into his college dorm. He wanted to make his study area as comfortable as possible. The chair that was in his room was old and stiff. Jake found a really nice leather computer chair on craigslist. Jake was able to buy the chair for $50 used., someone submitted an ad for the leather computer chair on craigslist , he was able to buy the chair ,before, True,TRUE, before, before
"event: Matilda gathered her corn seeds. starts before ""Alone in the field, the harvest seemed so very far off."" story: Matilda planted each seed of corn by hand. ""She scuffed at the dirt with her shoe, when the last one was in."" ""Alone in the field, the harvest seemed so very far off."" ""After the corn had grown and it was time to reap it, she was sad."" Turning the brown husks under and starting anew seemed so far off.", positive," matilda gathered her corn seeds. starts before ""alone in the field, the harvest seemed so very far off."" "," Matilda planted each seed of corn by hand. ""She scuffed at the dirt with her shoe, when the last one was in."" ""Alone in the field, the harvest seemed so very far off."" ""After the corn had grown and it was time to reap it, she was sad."" Turning the brown husks under and starting anew seemed so far off.", matilda gathered her corn seeds. ," ""alone in the field, the harvest seemed so very far off."" ",before, True,TRUE, before, before
"event: Jackson's brother's face was wet starts after was having a water balloon fight with his little brother. story: Jackson was at the lake with his family. He was having a water balloon fight with his little brother. He noticed his brother was distracted. ""Then, he threw the balloon right at his face."" ""His brother began to cry, and Jackson got into trouble.""", positive, jackson's brother's face was wet starts after was having a water balloon fight with his little brother. ," Jackson was at the lake with his family. He was having a water balloon fight with his little brother. He noticed his brother was distracted. ""Then, he threw the balloon right at his face."" ""His brother began to cry, and Jackson got into trouble.""", jackson's brother's face was wet , was having a water balloon fight with his little brother. ,after, True,TRUE, after, after
"event:  Chelsea graduated from college starts after She go to college story: Chelsea knew she did not want to be waitress the rest of her life. She went to college at night and worked during the day. ""Two years later, she got her degree and the job she wanted."" ""After six months, she realized the corporate life was not for her."" She is now a manager at the restaurant that she worked at before.", positive,  chelsea graduated from college starts after she go to college ," Chelsea knew she did not want to be waitress the rest of her life. She went to college at night and worked during the day. ""Two years later, she got her degree and the job she wanted."" ""After six months, she realized the corporate life was not for her."" She is now a manager at the restaurant that she worked at before.",  chelsea graduated from college , she go to college ,after, False,TRUE, before, after
event: John registered for a language learning course online starts after John really want to learn the Russian language story: John really wanted to learn the Russian language. John bought materials and began studying. John watched Russian movies without subtitles. John spent a month living in Russia. Now John is fluent in the Russian language., positive, john registered for a language learning course online starts after john really want to learn the russian language , John really wanted to learn the Russian language. John bought materials and began studying. John watched Russian movies without subtitles. John spent a month living in Russia. Now John is fluent in the Russian language., john registered for a language learning course online , john really want to learn the russian language ,after, False,FALSE, before, before
event: Kate got dressed for breakfast starts after It be the first morning of Kate 's trip in Las Vegas story: It was the first morning of Kate's trip in Las Vegas. Kate wanted to go to a restaurant for breakfast. But her friends wanted to get room service. Kate was leery because she always heard room service was expensive. But she decided to go along with it just for the experience., positive, kate got dressed for breakfast starts after it be the first morning of kate 's trip in las vegas , It was the first morning of Kate's trip in Las Vegas. Kate wanted to go to a restaurant for breakfast. But her friends wanted to get room service. Kate was leery because she always heard room service was expensive. But she decided to go along with it just for the experience., kate got dressed for breakfast , it be the first morning of kate 's trip in las vegas ,after, True,TRUE, before, after
"event: I ordered a pizza starts after I be in a bad mood story: I was in a bad mood. ""At work, I yelled at people."" ""It the bus stop, I screamed at a bird."" I realized that I was simply hungry. ""After eating a pizza, I felt happy again.""", positive, i ordered a pizza starts after i be in a bad mood ," I was in a bad mood. ""At work, I yelled at people."" ""It the bus stop, I screamed at a bird."" I realized that I was simply hungry. ""After eating a pizza, I felt happy again.""", i ordered a pizza , i be in a bad mood ,after, True,FALSE, before, after
"event: I felt relieved starts after I felt a pop story: I was riding my bike to my friends house. ""Suddenly, I felt a pop and my bike stopped working."" I took the bike home and checked out the problem. I went to the store and bought the tube to fix the tire. I went home and fixed my bike and went for a ride.", positive, i felt relieved starts after i felt a pop ," I was riding my bike to my friends house. ""Suddenly, I felt a pop and my bike stopped working."" I took the bike home and checked out the problem. I went to the store and bought the tube to fix the tire. I went home and fixed my bike and went for a ride.", i felt relieved , i felt a pop ,after, True,TRUE, after, after
event: Dana got out of her grandfather's truck starts after he parked a block down the road story: Dana's grandfather was bringing her to school. He had an old loud truck. Dana was embarrassed of the truck. She told her grandfather to park a block down the road. Dana walked the rest of the way to school., positive, dana got out of her grandfather's truck starts after he parked a block down the road , Dana's grandfather was bringing her to school. He had an old loud truck. Dana was embarrassed of the truck. She told her grandfather to park a block down the road. Dana walked the rest of the way to school., dana got out of her grandfather's truck , he parked a block down the road ,after, True,TRUE, after, before
"event: A neighbor shouted at Michael to get down starts after Michael decide to climb up to get it story: Michael was playing ball with his friends. His friend tossed the ball to him. Instead, it landed up on the roof. Michael decided to climb up to get it. Luckily, he was able to find it.", positive, a neighbor shouted at michael to get down starts after michael decide to climb up to get it ," Michael was playing ball with his friends. His friend tossed the ball to him. Instead, it landed up on the roof. Michael decided to climb up to get it. Luckily, he was able to find it.", a neighbor shouted at michael to get down , michael decide to climb up to get it ,after, False,TRUE, after, after
"event: Chelsea applied for a corporate job starts after She go to college story: Chelsea knew she did not want to be waitress the rest of her life. She went to college at night and worked during the day. ""Two years later, she got her degree and the job she wanted."" ""After six months, she realized the corporate life was not for her."" She is now a manager at the restaurant that she worked at before.", positive, chelsea applied for a corporate job starts after she go to college ," Chelsea knew she did not want to be waitress the rest of her life. She went to college at night and worked during the day. ""Two years later, she got her degree and the job she wanted."" ""After six months, she realized the corporate life was not for her."" She is now a manager at the restaurant that she worked at before.", chelsea applied for a corporate job , she go to college ,after, False,TRUE, before, after
event: Juan was holding a hedge trimmer. starts before he trim hedges in a flower bed story: Juan worked for a local landscaping company. One day he was trimming hedges in a flower bed. He did not see the coral snake in the flower bed. The coral snake bit Juan on his ankle. Juan could not work for several days because of the snake bite., positive, juan was holding a hedge trimmer. starts before he trim hedges in a flower bed , Juan worked for a local landscaping company. One day he was trimming hedges in a flower bed. He did not see the coral snake in the flower bed. The coral snake bit Juan on his ankle. Juan could not work for several days because of the snake bite., juan was holding a hedge trimmer. , he trim hedges in a flower bed ,before, False,TRUE, before, before
event: Rick watched TV as a child. starts before Rick watch TV story: Rick was watching TV. And he noticed that there was nothing to watch but children's shows. One of the shows he remembered. And he used to watch it when he was a child. Rick enjoyed being reminded of his childhood., positive, rick watched tv as a child. starts before rick watch tv , Rick was watching TV. And he noticed that there was nothing to watch but children's shows. One of the shows he remembered. And he used to watch it when he was a child. Rick enjoyed being reminded of his childhood., rick watched tv as a child. , rick watch tv ,before, True,TRUE, before, before
event: Jenny's dad could afford both kittens. starts before She find the perfect kitten story: Jenny's dad took her to the pound to pick out a kitten. She found the perfect kitten but there was a problem. Her kitten was in the same cage as a friend. She didn't want to break them up. She was delighted when her dad said they could take both home., positive, jenny's dad could afford both kittens. starts before she find the perfect kitten , Jenny's dad took her to the pound to pick out a kitten. She found the perfect kitten but there was a problem. Her kitten was in the same cage as a friend. She didn't want to break them up. She was delighted when her dad said they could take both home., jenny's dad could afford both kittens. , she find the perfect kitten ,before, True,FALSE, after, after
event: My friend took their ladder back home. starts after I climb up the ladder story: One day my cat climbed up a tree. He was stuck and could not get down. My friend came over with a ladder. I had to climb up the ladder and rescue my cat. My cat does not climb trees anymore., positive, my friend took their ladder back home. starts after i climb up the ladder , One day my cat climbed up a tree. He was stuck and could not get down. My friend came over with a ladder. I had to climb up the ladder and rescue my cat. My cat does not climb trees anymore., my friend took their ladder back home. , i climb up the ladder ,after, False,None, after, after
event: Jax noticed the purse in the car. starts before Jax stole the purse. story: Jax worked for a mechanic's shop. A customer brought in a car for a repair. The customer left her purse in the car. Jax stole the purse. Jax was fired for taking the purse., positive, jax noticed the purse in the car. starts before jax stole the purse. , Jax worked for a mechanic's shop. A customer brought in a car for a repair. The customer left her purse in the car. Jax stole the purse. Jax was fired for taking the purse., jax noticed the purse in the car. , jax stole the purse. ,before, True,TRUE, after, before
"event: The cat wasn't responding to the training starts after Halie adopt a foster cat story: Halie adopted a foster cat. ""The cat was disturbed, having been abused in her previous homes."" Halie put her full effort into retraining her. The cat would not stop scratching and biting people. Halie had to put the cat down.", positive, the cat wasn't responding to the training starts after halie adopt a foster cat ," Halie adopted a foster cat. ""The cat was disturbed, having been abused in her previous homes."" Halie put her full effort into retraining her. The cat would not stop scratching and biting people. Halie had to put the cat down.", the cat wasn't responding to the training , halie adopt a foster cat ,after, True,TRUE, after, after
event: The speaker enjoys collecting pint glasses starts before seeing a new employee and buying a tour story: I like going to a brewery a few blocks from my house. It has a very convenient location for me. It offers free pint glasses on each patron's first tour. I have a cabinet full of those pint glasses. I simply buy the tour any time I see a new employee., positive, the speaker enjoys collecting pint glasses starts before seeing a new employee and buying a tour , I like going to a brewery a few blocks from my house. It has a very convenient location for me. It offers free pint glasses on each patron's first tour. I have a cabinet full of those pint glasses. I simply buy the tour any time I see a new employee., the speaker enjoys collecting pint glasses , seeing a new employee and buying a tour ,before, True,TRUE, after, before
"event: She stood up starts after when she fell story: A young lady was running through the sand at the beach. Strong winds started to blow in her direction. She was pushed back. ""When she fell, her hair fell out."" ""Before anyone noticed, she quickly put it on and walked away.""", positive, she stood up starts after when she fell ," A young lady was running through the sand at the beach. Strong winds started to blow in her direction. She was pushed back. ""When she fell, her hair fell out."" ""Before anyone noticed, she quickly put it on and walked away.""", she stood up , when she fell ,after, False,TRUE, after, after
"event: Noah could not afford to buy a kayak starts before It be much harder than it had seemed story: Noah thought kayaking looked fun. He rented a kayak one day. ""But when he got out on the lake, he was unhappy."" It was much harder than it had seemed. Noah decided he did not like kayaking after all.", positive, noah could not afford to buy a kayak starts before it be much harder than it had seemed ," Noah thought kayaking looked fun. He rented a kayak one day. ""But when he got out on the lake, he was unhappy."" It was much harder than it had seemed. Noah decided he did not like kayaking after all.", noah could not afford to buy a kayak , it be much harder than it had seemed ,before, False,FALSE, after, before
event: Trisha hung the closed sign up  starts after Trisha n't want the diner to lose any more money story: Trisha was a manager of local diner. It was a slow night. The diner hadn't been making any money. Trisha didn't want the diner to lose any more money. Trisha closed the diner an hour early., positive, trisha hung the closed sign up  starts after trisha n't want the diner to lose any more money , Trisha was a manager of local diner. It was a slow night. The diner hadn't been making any money. Trisha didn't want the diner to lose any more money. Trisha closed the diner an hour early., trisha hung the closed sign up  , trisha n't want the diner to lose any more money ,after, True,TRUE, before, after
event: Martin is alive. starts before he sleep more deeply than normal story: Martin realizes that he needs to get more exercise. He decides to have a walk around the block before he goes to bed. That night he sleeps more deeply than normal. He decides to take a walk every night before going to bed. Martin is very happy he is getting more exercise., positive, martin is alive. starts before he sleep more deeply than normal , Martin realizes that he needs to get more exercise. He decides to have a walk around the block before he goes to bed. That night he sleeps more deeply than normal. He decides to take a walk every night before going to bed. Martin is very happy he is getting more exercise., martin is alive. , he sleep more deeply than normal ,before, True,TRUE, after, before
"event: Wallace was looking forward to swimming in the lake. starts before Wallace go home unsatisfied story: Milwaukee resident Wallace wanted to go swimming in the lake. ""It was early September, and he donned his swim trunks."" He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.", positive, wallace was looking forward to swimming in the lake. starts before wallace go home unsatisfied ," Milwaukee resident Wallace wanted to go swimming in the lake. ""It was early September, and he donned his swim trunks."" He drove to the lake and found parking. The water was already far too cold for him to swim. Wallace went home unsatisfied.", wallace was looking forward to swimming in the lake. , wallace go home unsatisfied ,before, True,TRUE, after, before
"event: Emily was killed starts before she was never seen again story: Emily is an avid runner. She always runs near a wooded area. ""One day, she ran further than usual."" ""On her way back, she ran near the trees in complete darkness."" Something jumped out of the woods and Emily was never seen again.", positive, emily was killed starts before she was never seen again ," Emily is an avid runner. She always runs near a wooded area. ""One day, she ran further than usual."" ""On her way back, she ran near the trees in complete darkness."" Something jumped out of the woods and Emily was never seen again.", emily was killed , she was never seen again ,before, True,FALSE, after, after
"event: Sue's dog rubbed its nose again on the window of her car. starts after she cleaned the window story: Sue got in her car and frowned at how filthy the window was. Her dog's nose had made quite a mess of the glass. She wondered if he had worked hard to create that window art for her. Sue sort of felt bad as she cleaned it away. ""The next day, her dog created a new masterpiece on the window.""", positive, sue's dog rubbed its nose again on the window of her car. starts after she cleaned the window ," Sue got in her car and frowned at how filthy the window was. Her dog's nose had made quite a mess of the glass. She wondered if he had worked hard to create that window art for her. Sue sort of felt bad as she cleaned it away. ""The next day, her dog created a new masterpiece on the window.""", sue's dog rubbed its nose again on the window of her car. , she cleaned the window ,after, True,TRUE, before, after
"event: Cammie put clothes in the dryer starts after Cammie found the $50 bill story: Cammie lost a $50 bill somewhere. ""She was so upset, she almost cried."" ""Then, the next day, doing laundry, she found it!"" ""It was wet, wrinkled, and clean in the washer!"" Cammie was elated!", positive, cammie put clothes in the dryer starts after cammie found the $50 bill ," Cammie lost a $50 bill somewhere. ""She was so upset, she almost cried."" ""Then, the next day, doing laundry, she found it!"" ""It was wet, wrinkled, and clean in the washer!"" Cammie was elated!", cammie put clothes in the dryer , cammie found the $50 bill ,after, False,FALSE, after, after
event: The taxi driver was an old friend of hers starts before she had arrived at the office story: Beth needed to get to her office. She waved a taxi down and told the driver where to go. The driver took her to her office. The driver told her that she didn't have to pay. She decided to pay for the next person's ride instead., positive, the taxi driver was an old friend of hers starts before she had arrived at the office , Beth needed to get to her office. She waved a taxi down and told the driver where to go. The driver took her to her office. The driver told her that she didn't have to pay. She decided to pay for the next person's ride instead., the taxi driver was an old friend of hers , she had arrived at the office ,before, False,FALSE, after, before
event: They picked a lot of apples starts after we saw a sign inviting the public to pick apples story: Sally and I were driving to the local fair. On our way we saw a sign inviting the public to pick apples. I discussed with Sally how fun it could be to pick our own apples. Sally and I decided to pick apples. We had fun picking apples and it broke up our drive to the fair., positive, they picked a lot of apples starts after we saw a sign inviting the public to pick apples , Sally and I were driving to the local fair. On our way we saw a sign inviting the public to pick apples. I discussed with Sally how fun it could be to pick our own apples. Sally and I decided to pick apples. We had fun picking apples and it broke up our drive to the fair., they picked a lot of apples , we saw a sign inviting the public to pick apples ,after, True,TRUE, after, after
event: The movie John watched aided his learning starts after John really want to learn the Russian language story: John really wanted to learn the Russian language. John bought materials and began studying. John watched Russian movies without subtitles. John spent a month living in Russia. Now John is fluent in the Russian language., positive, the movie john watched aided his learning starts after john really want to learn the russian language , John really wanted to learn the Russian language. John bought materials and began studying. John watched Russian movies without subtitles. John spent a month living in Russia. Now John is fluent in the Russian language., the movie john watched aided his learning , john really want to learn the russian language ,after, True,TRUE, before, before
"event: Gary and his dog walked outside their house starts before A man hit the dog on the side story: Gary was walking his dog on the sidewalk. The dog managed to break through the leash and ran away. It ran towards a crowded street with a traffic. A man hit the dog on the side while he was driving. ""Since he only felt a small thud, he didn't bother to stop.""", positive, gary and his dog walked outside their house starts before a man hit the dog on the side ," Gary was walking his dog on the sidewalk. The dog managed to break through the leash and ran away. It ran towards a crowded street with a traffic. A man hit the dog on the side while he was driving. ""Since he only felt a small thud, he didn't bother to stop.""", gary and his dog walked outside their house , a man hit the dog on the side ,before, True,TRUE, after, before
event: Jill knows how to drive starts before She call triple A for help with her car story: Jill is driving down the road. Her car starts to make a strange noise. She pulls over and checks the hood. It's smoking everywhere. She calls triple A for help with her car., positive, jill knows how to drive starts before she call triple a for help with her car , Jill is driving down the road. Her car starts to make a strange noise. She pulls over and checks the hood. It's smoking everywhere. She calls triple A for help with her car., jill knows how to drive , she call triple a for help with her car ,before, True,TRUE, after, before
event: Dial up internet is not as good starts before Tim try to use the internet story: Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead., positive, dial up internet is not as good starts before tim try to use the internet , Tim was visiting his grandparents. They didn't have wifi or fast internet. Their connection was still using dial up. Tim tried to use the internet but it was just too slow. He decided to just use his smart phone instead., dial up internet is not as good , tim try to use the internet ,before, True,TRUE,after, before
event: Brent brought his hunting gear with him. starts after Brent put on his camouflage gear. story: Brent is an avid hunter. Brent wanted to shoot a deer. Brent put on his camouflage gear. Brent was not able to hunt a deer. Brent went home disappointed., positive, brent brought his hunting gear with him. starts after brent put on his camouflage gear. , Brent is an avid hunter. Brent wanted to shoot a deer. Brent put on his camouflage gear. Brent was not able to hunt a deer. Brent went home disappointed., brent brought his hunting gear with him. , brent put on his camouflage gear. ,after, True,FALSE, before, before
event: Martha went to the grocery store starts before she bought groceries story: Martha bought groceries and proceeded to go home. When she carried in her groceries she saw the bag leaking. The carton of eggs were squished. Martha went back to the grocery store. She was able to get another carton of eggs for free., positive, martha went to the grocery store starts before she bought groceries , Martha bought groceries and proceeded to go home. When she carried in her groceries she saw the bag leaking. The carton of eggs were squished. Martha went back to the grocery store. She was able to get another carton of eggs for free., martha went to the grocery store , she bought groceries ,before, False,FALSE, before, before
event: Lindsey bought all the gifts she needed starts after She go to every shopping mall she could think of story: Lindsey still had some shopping to complete two days before Christmas. She went to every shopping mall she could think of. The stores were so crowded it was hard to find good gifts. Lindsey decided to go to Walmart and try her luck there. She ended up finding all the gifts at Walmart and was very satisfied., positive, lindsey bought all the gifts she needed starts after she go to every shopping mall she could think of , Lindsey still had some shopping to complete two days before Christmas. She went to every shopping mall she could think of. The stores were so crowded it was hard to find good gifts. Lindsey decided to go to Walmart and try her luck there. She ended up finding all the gifts at Walmart and was very satisfied., lindsey bought all the gifts she needed , she go to every shopping mall she could think of ,after, True,TRUE, before, after
event: Bob was proud of his son starts after He want to get steak for an upcoming barbeque story: Bob love to eat steak. He wants to get steak for an upcoming barbeque. He went to the store but he couldn't find any steak. He continued searching but he still didn't find any steak. His son brought enough steak for everyone for the barbeque., positive, bob was proud of his son starts after he want to get steak for an upcoming barbeque , Bob love to eat steak. He wants to get steak for an upcoming barbeque. He went to the store but he couldn't find any steak. He continued searching but he still didn't find any steak. His son brought enough steak for everyone for the barbeque., bob was proud of his son , he want to get steak for an upcoming barbeque ,after, False,TRUE, after, after
event: Hermione felt a little proud. starts before the old friends shared a quiet cup of tea story: Ron and Hermione reunited for the first time in a decade. Ron complimented Harmony on how fit she'd stayed. Harmony noted how dapper Ron looked. The old friends shared a quiet cup of tea. They sipped their drinks and watched the storm rage outside the cafe., positive, hermione felt a little proud. starts before the old friends shared a quiet cup of tea , Ron and Hermione reunited for the first time in a decade. Ron complimented Harmony on how fit she'd stayed. Harmony noted how dapper Ron looked. The old friends shared a quiet cup of tea. They sipped their drinks and watched the storm rage outside the cafe., hermione felt a little proud. , the old friends shared a quiet cup of tea ,before, False,FALSE, after, after
"event: Bill was afraid starts after bill got himself lost story: Bill loved to play in the forest. ""One day, while playing a game, bill got himself lost."" He walked around the forest for hours. ""Finally, his mother came into the forest and brought bill back home."" Bill was happy to be home with his mother!", positive, bill was afraid starts after bill got himself lost ," Bill loved to play in the forest. ""One day, while playing a game, bill got himself lost."" He walked around the forest for hours. ""Finally, his mother came into the forest and brought bill back home."" Bill was happy to be home with his mother!", bill was afraid , bill got himself lost ,after, True,FALSE, after, before
"event: Jake had a performance improvement plan  starts after his boss warned him many times story: Jake loved his job. ""However, he was always late."" His boss warned him many times about his tardiness. Jake still did not change his ways. His boss finally had to fire him.", positive, jake had a performance improvement plan  starts after his boss warned him many times ," Jake loved his job. ""However, he was always late."" His boss warned him many times about his tardiness. Jake still did not change his ways. His boss finally had to fire him.", jake had a performance improvement plan  , his boss warned him many times ,after, False,FALSE, before, after
